#db_name, benchmark, cycle_count, cycle_time_usec, trust_count, trust_time_usecs
adj_rd_s15_e8,tc,5474021,24957748,1184720,17722694
adj_rd_s15_e8,tc,5474021,24764224,2641192,26715548
adj_rd_s15_e8,tc,5474021,24873656,1184720,17607964
adj_rd_s15_e8,tc,5474021,24898806,1184720,17610844
adj_rd_s15_e8,tc,5474021,24827990,1184720,17615518
adj_rd_s15_e8,tc,5474021,24851567,1184720,17623851
adj_rd_s15_e8,tc,5474021,24822000,1184720,17607813
adj_rd_s15_e8,tc,5474021,24838379,1184720,17596515
adj_rd_s15_e8,tc,5474021,24831278,1184720,17607998
adj_rd_s15_e8,tc,5474021,24855931,1184720,17611459
adj_rd_s15_e8,tc,5474021,24825175,1184720,17603518
adj_rd_s15_e8,tc,5474021,24827182,1184720,17612980
adj_rd_s15_e8,tc,5474021,24815830,1184720,17599601
adj_rd_s15_e8,tc,5474021,24837753,1184720,17590255
adj_rd_s15_e8,tc,5474021,24844725,1184720,17603002
adj_rd_s15_e8,tc,5474021,24862673,1184720,17609735
adj_rd_s15_e8,tc,5474021,24868232,1184720,17642528
adj_rd_s15_e8,tc,5474021,24803381,2641192,26677474
adj_rd_s15_e8,tc,5474021,24990794,1184720,17557981
adj_rd_s15_e8,tc,5474021,25016724,1184720,17575333
adj_rd_s15_e8,tc,5474021,24977544,1184720,17614126
adj_rd_s15_e8,tc,5474021,24981428,1184720,17546012
adj_rd_s15_e8,tc,5474021,24977789,1184720,17587659
adj_rd_s15_e8,tc,5474021,25026636,1184720,17588978
adj_rd_s15_e8,tc,5474021,24984192,1184720,17621468
adj_rd_s15_e8,tc,5474021,24961096,1184720,17550078
adj_rd_s15_e8,tc,5474021,24960714,1184720,17580209
adj_rd_s15_e8,tc,5474021,25007137,1184720,17556970
adj_rd_s15_e8,tc,5474021,24978034,1184720,17612398
adj_rd_s15_e8,tc,5474021,24978393,1184720,17564011
adj_rd_s15_e8,tc,5474021,25019125,1184720,17568939
adj_rd_s15_e8,tc,5474021,25011893,1184720,17623124
adj_rd_s15_e8,tc,5474021,25031829,1184720,17611966
