#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs
adj_rd_s12_e8,bfs,311,2675,320710,20312
adj_rd_s12_e8,bfs,3460,2675,320710,20382
adj_rd_s12_e8,bfs,619,2675,320710,20515
adj_rd_s12_e8,bfs,2252,2675,320710,20440
adj_rd_s12_e8,bfs,150,2675,320710,20324
adj_rd_s12_e8,bfs,3031,2676,320730,20263
adj_rd_s12_e8,bfs,1740,2676,320720,20250
adj_rd_s12_e8,bfs,1175,2675,320710,20317
adj_rd_s12_e8,bfs,2603,2675,320710,20424
adj_rd_s12_e8,bfs,1440,2675,320710,20195
adj_rd_s12_e8,bfs,90,2675,320710,20240
adj_rd_s12_e8,bfs,1039,2675,320710,20299
adj_rd_s12_e8,bfs,2590,2676,320720,20346
adj_rd_s12_e8,bfs,1179,2675,320710,20455
adj_rd_s12_e8,bfs,2768,2676,320720,20347
adj_rd_s12_e8,bfs,1329,2675,320710,20328
adj_rd_s12_e8,bfs,311,2675,320710,20647
adj_rd_s12_e8,bfs,3460,2675,320710,20612
adj_rd_s12_e8,bfs,619,2675,320710,20439
adj_rd_s12_e8,bfs,2252,2675,320710,20448
adj_rd_s12_e8,bfs,150,2675,320710,20515
adj_rd_s12_e8,bfs,3031,2676,320730,20784
adj_rd_s12_e8,bfs,1740,2676,320720,20588
adj_rd_s12_e8,bfs,1175,2675,320710,20588
adj_rd_s12_e8,bfs,2603,2675,320710,20426
adj_rd_s12_e8,bfs,1440,2675,320710,20589
adj_rd_s12_e8,bfs,90,2675,320710,20643
adj_rd_s12_e8,bfs,1039,2675,320710,20754
adj_rd_s12_e8,bfs,2590,2676,320720,20669
adj_rd_s12_e8,bfs,1179,2675,320710,20507
adj_rd_s12_e8,bfs,2768,2676,320720,20849
adj_rd_s12_e8,bfs,1329,2675,320710,20806
