#type,insertion_time_sec,index_time_sec
std,24.650349617004395, 1.386134147644043
std,24.78800916671753,1.129854440689087
std,24.30160617828369,1.3560543060302734
std,25.470377445220947,1.4405348300933838
std,24.929803133010864,1.3190805912017822
adj,33.153401374816895,0
adj,33.396817445755005,0
adj,32.49043583869934,0
adj,34.09454417228699,0
adj,33.31048250198364,0
ekey,21.225383758544922,1.0193707942962646
ekey,21.60496997833252,1.0146152973175049
ekey,20.836732864379883,1.0108671188354492
ekey,22.155385494232178,1.0395917892456055
ekey,21.6069393157959,1.0080416202545166
