#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
adj_rd_s15_e8,bfs,7013,18658,2570680,187072,1870728
adj_rd_s15_e8,bfs,17204,18657,2570670,183781,1837810
adj_rd_s15_e8,bfs,3625,18657,2570670,181822,1818228
adj_rd_s15_e8,bfs,4662,18657,2570670,185745,1857455
adj_rd_s15_e8,bfs,30151,18657,2570670,183555,1835553
adj_rd_s15_e8,bfs,31108,18657,2570670,184534,1845343
adj_rd_s15_e8,bfs,8665,18657,2570670,183521,1835216
adj_rd_s15_e8,bfs,30739,18657,2570670,184249,1842493
adj_rd_s15_e8,bfs,22588,18657,2570670,185334,1853348
adj_rd_s15_e8,bfs,8257,18657,2570670,184552,1845527
adj_rd_s15_e8,bfs,27326,18658,2570680,183355,1833559
adj_rd_s15_e8,bfs,30010,18658,2570680,185318,1853182
adj_rd_s15_e8,bfs,7872,18657,2570670,183653,1836536
adj_rd_s15_e8,bfs,31457,18658,2570680,185938,1859385
adj_rd_s15_e8,bfs,8866,18657,2570670,184151,1841511
adj_rd_s15_e8,bfs,12555,18657,2570670,183170,1831701
