#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
adj_rd_s11_e8,bfs,346,1412,160540,9925,99256
adj_rd_s11_e8,bfs,661,1412,160540,9769,97696
adj_rd_s11_e8,bfs,744,1412,160540,9760,97602
adj_rd_s11_e8,bfs,257,1412,160540,9733,97333
adj_rd_s11_e8,bfs,1161,1412,160540,9695,96957
adj_rd_s11_e8,bfs,739,1412,160540,9719,97197
adj_rd_s11_e8,bfs,681,1412,160540,9776,97765
adj_rd_s11_e8,bfs,377,1413,160560,9674,96745
adj_rd_s11_e8,bfs,1870,1413,160550,9797,97975
adj_rd_s11_e8,bfs,1859,1412,160540,9753,97530
adj_rd_s11_e8,bfs,1887,1412,160540,9755,97550
adj_rd_s11_e8,bfs,241,1412,160540,9751,97518
adj_rd_s11_e8,bfs,567,1412,160540,9777,97775
adj_rd_s11_e8,bfs,751,1412,160540,9733,97335
adj_rd_s11_e8,bfs,592,1412,160540,9793,97939
adj_rd_s11_e8,bfs,1163,1412,160540,9803,98030
