db_name, db_path, type, is_readopt, num_nodes, num_edges, t_e_read, t_e_insert, t_n_read, t_n_insert
s17_e8,/home/jackgong/margraphita/db/s17_e8/s17_e8,ekey,0,118284,1048576,124883,212225,24758,41249
s18_e8,/home/jackgong/margraphita/db/s18_e8/s18_e8,std,1,233589,2097152,259596,410225,47814,42925
s18_e8,/home/jackgong/margraphita/db/s18_e8/s18_e8,std,0,233589,2097152,257520,401181,45959,40167
s18_e8,/home/jackgong/margraphita/db/s18_e8/s18_e8,adj,1,233589,2097152,258128,449971,49467,225229
s18_e8,/home/jackgong/margraphita/db/s18_e8/s18_e8,adj,0,233589,2097152,257311,418867,46528,217993
s18_e8,/home/jackgong/margraphita/db/s18_e8/s18_e8,ekey,1,233589,2097152,258404,400198,47653,102527
s18_e8,/home/jackgong/margraphita/db/s18_e8/s18_e8,ekey,0,233589,2097152,276878,430644,48490,65484
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,std,1,461595,4194304,555479,816686,95935,83687
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,std,0,461595,4194304,590288,818358,94516,76333
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,adj,1,461595,4194304,552661,832646,102589,488835
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,adj,0,461595,4194304,550364,973878,101961,491760
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,ekey,1,461595,4194304,555750,881421,95919,207983
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,ekey,0,461595,4194304,547674,785830,94815,125215
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,std,1,910898,8388608,1195925,1652643,199016,193190
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,std,0,910898,8388608,1200479,1813819,194947,205377
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,adj,1,910898,8388608,1177927,1814010,203659,1163429
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,adj,0,910898,8388608,1239504,1650975,207677,1166616
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,ekey,1,910898,8388608,1198103,1677953,230036,441323
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,ekey,0,910898,8388608,1178796,1660849,211810,280757
