#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
adj_rd_s16_e8,bfs,44706,35361,5139610,394716,3947168
adj_rd_s16_e8,bfs,3638,35361,5139610,388504,3885047
adj_rd_s16_e8,bfs,37652,35361,5139610,381354,3813546
adj_rd_s16_e8,bfs,27522,35361,5139610,380310,3803105
adj_rd_s16_e8,bfs,17628,35361,5139610,379292,3792928
adj_rd_s16_e8,bfs,43242,35362,5139620,380659,3806595
adj_rd_s16_e8,bfs,17196,35361,5139610,380288,3802885
adj_rd_s16_e8,bfs,33906,35361,5139610,379688,3796882
adj_rd_s16_e8,bfs,7243,35361,5139610,380855,3808558
adj_rd_s16_e8,bfs,57362,35361,5139610,379305,3793054
adj_rd_s16_e8,bfs,604,35361,5139610,380317,3803170
adj_rd_s16_e8,bfs,49796,35361,5139610,380431,3804318
adj_rd_s16_e8,bfs,10727,35363,5139640,380689,3806893
adj_rd_s16_e8,bfs,59406,35361,5139610,381110,3811105
adj_rd_s16_e8,bfs,12688,35361,5139610,381173,3811751
adj_rd_s16_e8,bfs,46851,35361,5139610,379818,3798186
