#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
std_rd_s13_e8,bfs,1876,5125,641780,218177,2181772
std_rd_s13_e8,bfs,5184,5125,641780,466828,4668288
std_rd_s13_e8,bfs,1817,5125,641780,680314,6803146
std_rd_s13_e8,bfs,2524,5126,641790,891207,8912074
std_rd_s13_e8,bfs,5268,5125,641780,1114914,11149141
std_rd_s13_e8,bfs,35,5125,641780,1324563,13245632
std_rd_s13_e8,bfs,135,5125,641780,1530519,15305197
std_rd_s13_e8,bfs,4808,5125,641780,1763154,17631548
std_rd_s13_e8,bfs,5791,5125,641780,2058053,20580534
std_rd_s13_e8,bfs,380,5125,641780,2207327,22073270
std_rd_s13_e8,bfs,4361,5125,641780,2461693,24616932
std_rd_s13_e8,bfs,1314,5125,641780,2682212,26822124
std_rd_s13_e8,bfs,6197,5125,641780,2880318,28803181
std_rd_s13_e8,bfs,610,5125,641780,3100617,31006175
std_rd_s13_e8,bfs,6383,5125,641780,3342963,33429639
std_rd_s13_e8,bfs,7174,5125,641780,3585364,35853645
