#db_name, benchmark,map_construction_time,iteration_time0,iteration_time1...
 adj_rd_cit-Patents,pr,583313,19558134,19717820,19563940,19580603,19538837,19521473,19552303,19580685,19522378,19536292
adj_rd_cit-Patents,pr,577904,19502870,19526443,19516729,19560685,19597135,19582248,19613329,19581924,19540997,19578204
adj_rd_cit-Patents,pr,579067,19324191,19434258,19469415,19501585,19561951,19523228,19499813,19541630,19501139,19517390
adj_rd_cit-Patents,pr,586504,19967757,20067138,20028679,20025445,20080747,20038514,20038683,20089113,20060231,20097902
adj_rd_cit-Patents,pr,575988,19339430,19377857,19434918,19494160,19441433,19444111,19438215,19418109,19419689,19430924
adj_rd_cit-Patents,pr,576226,19400736,19516499,19507767,19558706,19565654,19550508,19550847,19579011,19521936,19548435
adj_rd_cit-Patents,pr,577934,19373842,19458729,19470129,19444037,19440082,19471002,19420538,19473935,19469598,19525623
adj_rd_cit-Patents,pr,578610,19998900,19915728,20014098,19955613,19961872,19997626,20035096,20006667,19996232,19997019
adj_rd_cit-Patents,pr,579974,19325610,19496792,19495273,19504287,19557356,19517051,19536336,19515132,19518821,19519818
adj_rd_cit-Patents,pr,577759,19494649,19532579,19516173,19599845,19539284,19559264,19601432,19661508,19597815,19566763
