#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
std_rd_s12_e8,bfs,3460,2668,317290,47757,477578
std_rd_s12_e8,bfs,619,2668,317290,47206,472063
std_rd_s12_e8,bfs,2252,2668,317290,47107,471079
std_rd_s12_e8,bfs,150,2668,317290,47265,472657
std_rd_s12_e8,bfs,3031,2669,317310,47091,470910
std_rd_s12_e8,bfs,1740,2669,317300,47162,471629
std_rd_s12_e8,bfs,1175,2668,317290,47044,470440
std_rd_s12_e8,bfs,2603,2668,317290,47063,470634
std_rd_s12_e8,bfs,1440,2668,317290,47138,471384
std_rd_s12_e8,bfs,90,2668,317290,46988,469880
std_rd_s12_e8,bfs,1039,2668,317290,46952,469520
std_rd_s12_e8,bfs,2590,2669,317300,47235,472352
std_rd_s12_e8,bfs,1179,2668,317290,47063,470631
std_rd_s12_e8,bfs,2768,2669,317300,47171,471716
std_rd_s12_e8,bfs,1329,2668,317290,47572,475727
std_rd_s12_e8,bfs,2063,2668,317290,46988,469889
