#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
ekey_rd_s15_e8,bfs,2354,18657,2570670,404512,4045127
ekey_rd_s15_e8,bfs,1746,18657,2570670,402915,4029151
ekey_rd_s15_e8,bfs,3258,18657,2570670,401426,4014268
ekey_rd_s15_e8,bfs,12384,18657,2570670,399407,3994078
ekey_rd_s15_e8,bfs,12553,18657,2570670,401898,4018980
ekey_rd_s15_e8,bfs,4515,18657,2570670,401275,4012759
ekey_rd_s15_e8,bfs,4576,18657,2570670,401478,4014787
ekey_rd_s15_e8,bfs,8529,18657,2570670,401415,4014154
ekey_rd_s15_e8,bfs,3306,18657,2570670,402290,4022907
ekey_rd_s15_e8,bfs,23831,18658,2570690,400657,4006577
ekey_rd_s15_e8,bfs,17643,18657,2570670,407109,4071095
ekey_rd_s15_e8,bfs,4514,18657,2570670,413465,4134650
ekey_rd_s15_e8,bfs,17698,18657,2570670,412870,4128707
ekey_rd_s15_e8,bfs,3244,18657,2570670,411505,4115050
ekey_rd_s15_e8,bfs,3303,18657,2570670,411952,4119526
ekey_rd_s15_e8,bfs,774,18657,2570670,409845,4098456
