#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs
adj_rd_s18_e8,bfs,133569,127339,20561760,60056791
adj_rd_s18_e8,bfs,96008,127339,20561760,60474672
adj_rd_s18_e8,bfs,54405,127339,20561760,60354694
adj_rd_s18_e8,bfs,147563,127339,20561760,60220355
adj_rd_s18_e8,bfs,18726,127339,20561760,60338957
adj_rd_s18_e8,bfs,51876,127339,20561760,60449495
adj_rd_s18_e8,bfs,13572,127339,20561760,60717244
adj_rd_s18_e8,bfs,101247,127339,20561760,61028323
adj_rd_s18_e8,bfs,39418,127340,20561770,60956656
adj_rd_s18_e8,bfs,525,127339,20561760,60347492
adj_rd_s18_e8,bfs,53437,127339,20561760,60405624
adj_rd_s18_e8,bfs,41100,127339,20561760,59964691
adj_rd_s18_e8,bfs,220171,127339,20561760,61177466
adj_rd_s18_e8,bfs,195079,127339,20561760,60336221
adj_rd_s18_e8,bfs,106659,127339,20561760,60421344
adj_rd_s18_e8,bfs,35879,127339,20561760,60692845
adj_rd_s18_e8,bfs,133569,127339,20561760,47934466
adj_rd_s18_e8,bfs,96008,127339,20561760,47804577
adj_rd_s18_e8,bfs,54405,127339,20561760,47935224
adj_rd_s18_e8,bfs,147563,127339,20561760,48006673
adj_rd_s18_e8,bfs,18726,127339,20561760,48424089
adj_rd_s18_e8,bfs,51876,127339,20561760,48833634
adj_rd_s18_e8,bfs,13572,127339,20561760,48870730
adj_rd_s18_e8,bfs,101247,127339,20561760,48700026
adj_rd_s18_e8,bfs,39418,127340,20561770,48930983
adj_rd_s18_e8,bfs,525,127339,20561760,49007566
adj_rd_s18_e8,bfs,53437,127339,20561760,49914549
adj_rd_s18_e8,bfs,41100,127339,20561760,50723623
