#name, std_insert, std_idx, adj_insert, ekey_insert, ekey_index
s10_e8, 0.6947441101074219, 0.03778529167175293, 0.9315590858459473, 0.6260969638824463, 0.03767824172973633 
s11_e8, 1.408522129058838, 0.06699776649475098, 1.884042501449585, 1.2493510246276855, 0.06722545623779297 
s12_e8, 2.7976701259613037, 0.13987135887145996, 3.7751238346099854, 2.4412760734558105, 0.12927699089050293 
s13_e8, 5.8661909103393555, 0.25629687309265137, 7.695070743560791, 4.799096584320068, 0.2524909973144531 
s14_e8, 11.95342206954956, 0.6045348644256592, 16.222684621810913, 9.871414422988892, 0.5228011608123779 
s15_e8, 24.93410563468933, 1.1117603778839111, 33.22382879257202, 21.52723264694214, 1.0145645141601562 
s16_e8, 50.69617700576782, 2.874065399169922, 68.60326743125916, 44.059046268463135, 2.0841667652130127 
s17_e8, 101.79128313064575, 28.93865180015564, 143.00937628746033, 103.33110475540161, 30.345078468322754 
s18_e8, 212.02470016479492, 97.90564250946045, 308.4043004512787, 198.93765258789062, 115.22336435317993 
s19_e8, 417.49267506599426, 271.74063420295715, 655.2041018009186, 443.34885692596436, 301.7493760585785
