#db_name, benchmark,map_construction_time,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
 std_rd_s16_e8,pr,6998,1459191,1419322,1434516,1429977,1418155,1430250,1471633,1419493,1438296,1417060
std_rd_s16_e8,pr,7113,1394656,1373188,1370912,1369630,1374721,1376107,1366862,1376803,1366909,1382115
std_rd_s16_e8,pr,7098,1426003,1379466,1370523,1382506,1375007,1383868,1379892,1377394,1385970,1380751
std_rd_s16_e8,pr,7152,1373162,1362662,1359060,1356833,1365549,1349025,1354412,1359324,1350348,1355054
std_rd_s16_e8,pr,7011,1486096,1415118,1432961,1430259,1419684,1434353,1436068,1416083,1433341,1430678
