#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs, time_from_main
ekey_rd_s16_e8,bfs,25157,35361,5139610,851945,8519460
ekey_rd_s16_e8,bfs,37329,35361,5139610,846770,8467700
ekey_rd_s16_e8,bfs,11446,35362,5139620,845807,8458076
ekey_rd_s16_e8,bfs,49876,35362,5139620,850559,8505598
ekey_rd_s16_e8,bfs,33166,35361,5139610,851404,8514045
ekey_rd_s16_e8,bfs,38395,35362,5139620,847101,8471017
ekey_rd_s16_e8,bfs,41923,35361,5139610,845363,8453636
ekey_rd_s16_e8,bfs,26168,35361,5139610,843383,8433833
ekey_rd_s16_e8,bfs,33067,35361,5139610,845917,8459176
ekey_rd_s16_e8,bfs,39593,35362,5139620,847407,8474077
ekey_rd_s16_e8,bfs,11468,35361,5139610,844237,8442373
ekey_rd_s16_e8,bfs,43103,35361,5139610,845573,8455736
ekey_rd_s16_e8,bfs,59103,35362,5139620,844129,8441292
ekey_rd_s16_e8,bfs,34958,35361,5139610,849019,8490198
ekey_rd_s16_e8,bfs,22295,35361,5139610,851164,8511649
ekey_rd_s16_e8,bfs,16489,35361,5139610,848150,8481504
