#db_name, benchmark,map_construction_time,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
 std_rd_s18_e8,pr,26787,6481230,6230320,6183342,6196988,6380633,6226423,6211209,6233292,6177859,6225701
std_rd_s18_e8,pr,32494,6281425,6221887,6224568,6256245,6181962,6171646,6170616,6236524,6208072,6228209
std_rd_s18_e8,pr,26725,6264617,6108382,6121336,6117172,6118464,6092514,6082583,6067836,6057968,6060251
std_rd_s18_e8,pr,26128,6124791,6038380,6041720,6026306,6026205,6010042,6070058,6080677,6087600,6035933
std_rd_s18_e8,pr,28188,6187699,6114590,6082238,6078024,6029726,6096959,6113990,6105277,6105719,6116006
