#db_name, benchmark, starting node_id, num_visited, sum_out_deg, total_time_taken_usecs
adj_rd_s10_e8,bfs,205,738,80080,5042
adj_rd_s10_e8,bfs,176,738,80080,5027
adj_rd_s10_e8,bfs,260,738,80080,4910
adj_rd_s10_e8,bfs,51,738,80080,4950
adj_rd_s10_e8,bfs,603,738,80080,5002
adj_rd_s10_e8,bfs,337,738,80080,5039
adj_rd_s10_e8,bfs,306,738,80080,4939
adj_rd_s10_e8,bfs,123,738,80080,5032
adj_rd_s10_e8,bfs,656,738,80080,4973
adj_rd_s10_e8,bfs,88,738,80080,5004
adj_rd_s10_e8,bfs,859,739,80090,4946
adj_rd_s10_e8,bfs,141,738,80080,4945
adj_rd_s10_e8,bfs,565,738,80080,5040
adj_rd_s10_e8,bfs,857,738,80080,4960
adj_rd_s10_e8,bfs,297,738,80080,5259
adj_rd_s10_e8,bfs,167,739,80100,4951
adj_rd_s10_e8,bfs,205,738,80080,4808
adj_rd_s10_e8,bfs,176,738,80080,4822
adj_rd_s10_e8,bfs,260,738,80080,4821
adj_rd_s10_e8,bfs,51,738,80080,4812
adj_rd_s10_e8,bfs,603,738,80080,4794
adj_rd_s10_e8,bfs,337,738,80080,4819
adj_rd_s10_e8,bfs,306,738,80080,4775
adj_rd_s10_e8,bfs,123,738,80080,4804
adj_rd_s10_e8,bfs,656,738,80080,4817
adj_rd_s10_e8,bfs,88,738,80080,4777
adj_rd_s10_e8,bfs,859,739,80090,4776
adj_rd_s10_e8,bfs,141,738,80080,4819
adj_rd_s10_e8,bfs,565,738,80080,4849
adj_rd_s10_e8,bfs,857,738,80080,4783
adj_rd_s10_e8,bfs,297,738,80080,4822
adj_rd_s10_e8,bfs,167,739,80100,4871
