#db_name, benchmark,map_construction_time,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9
 std_rd_s17_e8,pr,13670,2998987,2963749,2945922,2948139,2955945,2950811,2955175,2963087,2951422,2941561
std_rd_s17_e8,pr,13614,2933587,2931623,2923019,2918733,2928656,2909684,2913044,2936785,2899703,2904479
std_rd_s17_e8,pr,13853,3000539,2918930,2947365,2926603,2934745,2930035,2947631,2922437,2925638,2959590
std_rd_s17_e8,pr,13774,2932280,2905413,2893247,2894868,2899857,2879393,2884234,2890785,2880819,2882545
std_rd_s17_e8,pr,13694,2994906,2947251,2946281,2958147,2949583,2947208,2967284,2944081,2948053,2960342
std_rd_s17_e8,pr,13676,3038594,3004876,2997174,2991918,3005844,2989648,3012705,2990784,2993480,3008023
