db_name, db_path, type, is_readopt, num_nodes, num_edges, t_e_read, t_e_insert, t_n_read, t_n_insert
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,std,0,461595,4194304,548282,811786,95319,81404
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,adj,1,461595,4194304,563328,813399,103071,486221
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,adj,0,461595,4194304,555596,841557,103073,493339
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,ekey,1,461595,4194304,600340,827114,102214,202727
s19_e8,/home/jackgong/margraphita/db/s19_e8/s19_e8,ekey,0,461595,4194304,573148,805981,95675,127320
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,std,1,910898,8388608,1183808,1676536,192973,197546
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,std,0,910898,8388608,1221428,1711609,211046,212854
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,adj,1,910898,8388608,1387100,1646087,214494,1130565
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,adj,0,910898,8388608,1232889,1700599,209671,1132028
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,ekey,1,910898,8388608,1192772,1695118,215026,455823
s20_e8,/home/jackgong/margraphita/db/s20_e8/s20_e8,ekey,0,910898,8388608,1180832,1812855,198505,274372
