Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
Command exited with non-zero status 127
0.00,0.00,0.00
18.63,18.53,0.98
18.72,18.62,0.99
18.75,18.68,1.04
18.63,18.54,1.00
18.69,18.63,1.00
18.90,18.79,1.04
18.87,18.62,1.14
18.60,18.52,1.01
18.68,18.53,1.04
18.61,18.49,1.03
