real,user,sys
2.06,0.55,0.18
2.09,0.59,0.22
2.10,0.61,0.18
2.09,0.61,0.14
2.06,0.55,0.18
2.10,0.67,0.19
2.11,0.62,0.17
2.06,0.55,0.21
2.12,0.56,0.25
2.11,1.37,0.22
