real,user,sys
4.02,3.84,0.25
4.05,3.92,0.20
4.00,3.83,0.26
3.96,3.80,0.26
4.02,3.87,0.26
4.01,3.84,0.24
4.04,3.85,0.24
4.01,3.83,0.25
4.03,3.89,0.24
4.01,3.88,0.22
