real,user,sys
0.83,0.68,0.09
0.83,0.68,0.08
0.83,0.69,0.07
0.83,0.68,0.09
0.88,0.74,0.07
0.83,0.70,0.06
0.83,0.67,0.08
0.83,0.68,0.07
0.87,0.74,0.07
0.83,0.72,0.04
