real,user,sys
2.17,0.19,0.22
2.17,0.23,0.20
2.17,0.25,0.19
2.20,0.26,0.22
2.20,0.30,0.18
2.17,0.21,0.20
2.17,0.25,0.19
2.17,0.24,0.16
2.17,0.22,0.21
2.20,0.29,0.21
