real,user,sys
0.00,0.00,0.00
0.11,0.01,0.00
0.11,0.01,0.00
0.11,0.01,0.00
0.11,0.00,0.01
0.11,0.01,0.00
0.11,0.00,0.01
0.14,0.03,0.01
0.11,0.01,0.00
0.11,0.01,0.00
0.11,0.00,0.01
