real,user,sys
0.11,0.00,0.01
0.11,0.00,0.00
0.11,0.00,0.01
0.11,0.00,0.00
0.12,0.02,0.02
0.11,0.00,0.00
0.11,0.00,0.01
0.11,0.00,0.00
0.11,0.01,0.00
0.11,0.00,0.00
