real,user,sys
0.28,0.15,0.02
0.28,0.15,0.02
0.27,0.15,0.02
0.31,0.18,0.02
0.27,0.15,0.02
0.28,0.16,0.01
0.31,0.18,0.03
0.28,0.14,0.02
0.32,0.20,0.01
0.27,0.15,0.02
