real,user,sys
14.27,12.95,1.15
14.01,13.34,1.12
14.16,13.41,1.22
14.17,13.18,1.00
14.37,13.08,1.10
14.06,12.66,1.09
14.27,13.05,1.24
14.28,13.08,1.07
14.13,12.95,1.15
14.32,12.76,1.22
