real,user,sys
2.56,1.44,0.20
2.55,1.41,0.20
2.55,1.41,0.19
2.55,1.40,0.18
2.63,1.69,0.16
2.55,1.44,0.15
2.60,1.48,0.14
2.51,1.42,0.18
2.55,1.40,0.18
2.60,1.47,0.18
