2.20,0.88,0.18
2.19,0.91,0.15
2.22,0.88,0.15
2.18,0.89,0.15
2.24,0.85,0.18
2.15,0.89,0.14
2.15,0.88,0.20
2.15,0.82,0.21
2.19,0.86,0.19
2.16,0.84,0.16
