real,user,sys
6.39,5.66,0.50
6.40,5.56,0.52
6.27,5.74,0.55
6.39,5.72,0.51
6.38,5.90,0.50
6.25,5.68,0.54
6.43,5.79,0.54
6.42,5.75,0.57
6.40,5.48,0.52
6.35,5.63,0.51
