real,user,sys
0.23,0.11,0.01
0.19,0.07,0.01
0.19,0.06,0.02
0.19,0.07,0.01
0.19,0.07,0.01
0.14,0.08,0.00
0.19,0.07,0.01
0.19,0.07,0.01
0.19,0.07,0.01
0.19,0.07,0.01
