real,user,sys
2.11,0.43,0.17
2.09,0.45,0.15
2.09,0.39,0.19
2.09,0.44,0.19
2.09,0.39,0.18
2.11,0.46,0.18
2.09,0.43,0.18
2.08,0.42,0.21
2.09,0.44,0.13
2.09,0.53,0.19
